attribute,ari,nmi
behavior_label,-0.003743910227791384,0.004630370793393839
order,-0.0036836522742552114,0.0045069675567305685
subject,0.0014285350548630825,0.010685586553427906
collection_key,-0.00045299968038468137,0.018752574807192276
units,0.0034256928041608873,0.11527244541706574
