order,start_time,end_time,collection_key,subject,behavior_label,units,event_timestamps,cluster
,15167.0,24733.0,20230803_101331_1_merged.rec,1.1,acquisition,73,[17371.0],28
,15167.0,24733.0,20230803_101331_1_merged.rec,1.1,acquisition,40,[17532.0],28
,15167.0,24733.0,20230803_101331_1_merged.rec,1.1,acquisition,112,[18768.0],28
,15167.0,24733.0,20230803_101331_1_merged.rec,1.1,acquisition,173,[19156.0],28
,15167.0,24733.0,20230803_101331_1_merged.rec,1.1,acquisition,166,[21383.0],28
,15167.0,24733.0,20230803_101331_1_merged.rec,1.1,acquisition,165,[],27
,15167.0,24733.0,20230803_101331_1_merged.rec,1.1,acquisition,69,[],27
,15167.0,24733.0,20230803_101331_1_merged.rec,1.1,acquisition,71,[],27
,15167.0,24733.0,20230803_101331_1_merged.rec,1.1,acquisition,200,[],27
,15167.0,24733.0,20230803_101331_1_merged.rec,1.1,acquisition,34,[],27
,15167.0,24733.0,20230803_101331_1_merged.rec,1.1,acquisition,181,[],27
,15167.0,24733.0,20230803_101331_1_merged.rec,1.1,acquisition,138,[],27
,15167.0,24733.0,20230803_101331_1_merged.rec,1.1,acquisition,260,[],27
,15167.0,24733.0,20230803_101331_1_merged.rec,1.1,acquisition,171,[],27
,15167.0,24733.0,20230803_101331_1_merged.rec,1.1,acquisition,226,[],27
,15167.0,24733.0,20230803_101331_1_merged.rec,1.1,acquisition,175,[],27
,15167.0,24733.0,20230803_101331_1_merged.rec,1.1,acquisition,27,[],27
,15167.0,24733.0,20230803_101331_1_merged.rec,1.1,acquisition,155,[],27
,15167.0,24733.0,20230803_101331_1_merged.rec,1.1,acquisition,190,[],27
,15167.0,24733.0,20230803_101331_1_merged.rec,1.1,acquisition,259,[],27
,15167.0,24733.0,20230803_101331_1_merged.rec,1.1,acquisition,256,[],27
,15167.0,24733.0,20230803_101331_1_merged.rec,1.1,acquisition,197,[],27
,15167.0,24733.0,20230803_101331_1_merged.rec,1.1,acquisition,261,[],27
,15167.0,24733.0,20230803_101331_1_merged.rec,1.1,acquisition,255,[],27
